dataset	training_triples	testing_triples	validation_triples	total_triples	error_rate	time	size	natural_size	training	training_time	testing	testing_time	validation	validation_time
fb15k	483142	59071	50000	592213	0.8	0.004971419080000032	224393	28.0 kB	1.0	0.004651401859999851	0.88383	0.0009753105180000148	0.88258	0.0009074375499999973
fb15k	483142	59071	50000	592213	0.6	0.004854005100000336	513685	64.2 kB	1.0	0.004732482380000533	0.61115	0.0009805328379999879	0.6133	0.0009158344060000445
fb15k	483142	59071	50000	592213	0.5	0.007887815020000062	697027	87.1 kB	1.0	0.007482869539999797	0.55919	0.0016975003849999837	0.56274	0.001574439339999998
fb15k	483142	59071	50000	592213	0.2	0.010396381450000547	1618446	202.3 kB	1.0	0.01010838385000028	0.20536	0.002390763520000121	0.20632	0.002217931550000003
fb15k	483142	59071	50000	592213	0.1	0.012684708650000686	2315473	289.4 kB	1.0	0.012508858099999997	0.10343	0.003001840740000148	0.10306	0.0027622976699998958
fb15k	483142	59071	50000	592213	0.01	0.02322209740000005	4630945	578.9 kB	1.0	0.026127826399999776	0.01072	0.0049655820999998925	0.0096	0.0046053030400003084
fb15k	483142	59071	50000	592213	0.001	0.037246954900001586	6946417	868.3 kB	1.0	0.04162886299999968	0.00074	0.006992769099999805	0.00108	0.006496324820000154
fb15k	483142	59071	50000	592213	0.0001	0.057471474200002606	9261889	1.2 MB	1.0	0.06414784599999734	0.00017	0.010094807849999655	0.00012	0.020579172450000273
fb15k	483142	59071	50000	592213	1e-05	0.0832204460000014	11577361	1.4 MB	1.0	0.08785821079999892	2e-05	0.021521883950001097	2e-05	0.023658828300000323
fb15k237	272115	20438	17526	310079	1.0	0.0010733106400000736	0	0 Bytes	1.0	0.0008730419499999584	1.0	0.0002578952600000264	1.0	0.0002538370420000149
fb15k237	272115	20438	17526	310079	0.8	0.0026360647900000346	126383	15.8 kB	1.0	0.002327876129999993	0.88326	0.0006349003000000266	0.88457	0.0005875979520000101
fb15k237	272115	20438	17526	310079	0.6	0.002649805130000118	289318	36.2 kB	1.0	0.002460113589999935	0.60407	0.0006821187379999856	0.61566	0.0007167140260000337
fb15k237	272115	20438	17526	310079	0.5	0.005097074280000129	392579	49.1 kB	1.0	0.005305349079999928	0.56013	0.001109999020000032	0.56653	0.0010020002049999732
fb15k237	272115	20438	17526	310079	0.2	0.007294002759999784	911541	113.9 kB	1.0	0.006400733539999806	0.20868	0.001593388750000031	0.21186	0.0014203684449999798
fb15k237	272115	20438	17526	310079	0.1	0.007246135899999899	1304120	163.0 kB	1.0	0.007143537619999734	0.10388	0.0020159314849999533	0.10527	0.0016574037599998803
fb15k237	272115	20438	17526	310079	0.01	0.01371209110000109	2608239	326.0 kB	1.0	0.011693660249999027	0.00935	0.0031661324000000946	0.01056	0.00263526861999992
fb15k237	272115	20438	17526	310079	0.001	0.016425895899999432	3912358	489.0 kB	1.0	0.01723346355000075	0.00137	0.004173578940000197	0.00029	0.004153974410000103
fb15k237	272115	20438	17526	310079	0.0001	0.021532333799999036	5216477	652.1 kB	1.0	0.02581032960000016	0.0002	0.005808459980000294	6e-05	0.005344678140000383
fb15k237	272115	20438	17526	310079	1e-05	0.032826246400000515	6520596	815.1 kB	1.0	0.031191548699999315	0.0	0.00831334130000016	0.0	0.006025755699999991
wn18	141442	5000	5000	151442	1.0	0.0005930908320000299	0	0 Bytes	1.0	0.0004999164779999888	1.0	0.00010240745899999126	1.0	9.824745079999957e-05
wn18	141442	5000	5000	151442	0.8	0.0017721308899999145	65692	8.2 kB	1.0	0.0014377124399999274	0.879	0.00021675257200001852	0.8932	0.00021980500899999812
wn18	141442	5000	5000	151442	0.6	0.0015872740600001124	150384	18.8 kB	1.0	0.002194325400000139	0.6022	0.0002369531939999945	0.6042	0.00024169586599998637
wn18	141442	5000	5000	151442	0.5	0.0029324503000000847	204058	25.5 kB	1.0	0.0025238436600000112	0.5514	0.0003493319179999901	0.56	0.0003454887700000029
wn18	141442	5000	5000	151442	0.2	0.003434250520000148	473808	59.2 kB	1.0	0.0031895415299999287	0.2094	0.0005024660219999646	0.2096	0.0005179972639999732
wn18	141442	5000	5000	151442	0.1	0.004407032139999956	677865	84.7 kB	1.0	0.004250518679999687	0.1054	0.0005929715600000236	0.1058	0.0006181680679999886
wn18	141442	5000	5000	151442	0.01	0.007541001760000086	1355730	169.5 kB	1.0	0.006906520979999869	0.0102	0.0010612431919999495	0.0126	0.0009759133440000483
wn18	141442	5000	5000	151442	0.001	0.009584922939999956	2033595	254.2 kB	1.0	0.009905168039999808	0.0014	0.00133797172499996	0.0018	0.0013680963550000058
wn18	141442	5000	5000	151442	0.0001	0.013226844799999072	2711460	338.9 kB	1.0	0.013378964599999677	0.0	0.001810384949999957	0.0	0.0017815450100000874
wn18	141442	5000	5000	151442	1e-05	0.01597499574999972	3389325	423.7 kB	1.0	0.016129594299999894	0.0	0.0021513829699998156	0.0	0.002165256880000186
wn18rr	86835	2924	2824	92583	1.0	0.0003714776470000061	0	0 Bytes	1.0	0.00034363768399998663	1.0	6.007891799999925e-05	1.0	6.312111999999957e-05
wn18rr	86835	2924	2824	92583	0.8	0.0012766581149999468	40331	5.0 kB	1.0	0.0012107652899999266	0.8868	0.00015715173849999075	0.89341	0.00015413046799997687
wn18rr	86835	2924	2824	92583	0.6	0.00129867750499983	92325	11.5 kB	1.0	0.0011802303249999113	0.59952	0.00015039283400000158	0.60942	0.00014077050999998164
wn18rr	86835	2924	2824	92583	0.5	0.002113183230000004	125277	15.7 kB	1.0	0.0018806481549998467	0.55917	0.00022768969899999547	0.55914	0.00022787325000001601
